conversation_id,turn_no,utterance,keyterm_answer
1,1,"Hi, I'm looking to get motor insurance for my new electric vehicle. It's a 2024 Tesla Model 3.","The keyterm extracted are motor insurance, electric vehicle, Tesla Model 3"
1,3,"Yes, battery protection is definitely a concern. It's a big investment, and I want to make sure it's covered.",The keyterm extracted are Battery protection
1,5,What kind of coverage options do you have specifically for EVs?,The keyterm extracted are EV coverage options
1,7,"Okay, that sounds pretty good. Can you give me a quote?","The keyterm extracted are Quote, Premiums"
1,9,That's within my budget. What's the claim process like if I need to use it?,"The keyterm extracted are Budget, Claim process"
1,11,That sounds good. I appreciate the reassurance. I'm ready to proceed with the policy.,The keyterm extracted are None
2,1,"Hi, I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are motor insurance, bike, Royal Enfield Interceptor 650"
2,3,"Mostly for weekend rides, so leisure I guess.",The keyterm extracted are None
2,5,What's covered in a comprehensive plan?,"The keyterm extracted are Comprehensive plan, Coverage options"
2,7,"Okay, that sounds good. What about roadside assistance?",The keyterm extracted are Roadside assistance
2,9,How much would this cost me?,The keyterm extracted are Premiums
2,11,That sounds reasonable. I'm happy to pay $850 annually. Please tell me more about the claim process.,"The keyterm extracted are Claim process, Annual premium"
2,13,"That sounds convenient. Okay, I'm interested. What's the next step?",The keyterm extracted are None
3,1,"Hi, I'm looking for a motor insurance policy for my bike. It's a 2022 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance policy, Royal Enfield Classic 350"
3,3,I value my time. Quick claim settlement is important to me.,The keyterm extracted are Claim settlement
3,5,What does this policy typically cover?,The keyterm extracted are Policy coverage (3 words)
3,7,Okay. What would be the premium for this policy?,The keyterm extracted are Premium
3,9,"That sounds good, can I get paperless claim settlement as part of the deal.",The keyterm extracted are Paperless claim settlement
3,11,"Okay, I'm interested. Can you send me the policy details?","The keyterm extracted are Policy details (assuming the details provided include insurance policy types, coverage options, claims, add-ons, premiums, bonuses, discounts, legal and regulatory terms, and budget)"
4,1,"Hi, I am interested in getting motor insurance for my bike. I just bought a new 2024 Royal Enfield Classic 350.","The keyterm extracted are Motor insurance, bike, Royal Enfield Classic 350"
4,3,Cashless repairs sound good. Does the insurance cover theft as well?,"The keyterm extracted are Cashless repairs, Theft"
4,5,Thatâ€™s reassuring. Whatâ€™s the claim process like if something happens?,The keyterm extracted are Claim process
4,7,"Okay, that sounds pretty good. What would the premium be for the comprehensive policy?","The keyterm extracted are Comprehensive policy, Premium"
4,9,That sounds reasonable. Let me think about it.,The keyterm extracted are None
5,1,"Hi, I'm looking for motor insurance for my 2022 Hyundai Kona Electric. Can you help?","The keyterm extracted are Motor insurance, 2022 Hyundai Kona Electric"
5,3,"Yes, battery coverage is a big concern. I've heard those repairs can be super expensive.",The keyterm extracted are Battery coverage
5,5,"Okay, good. What kind of coverage options do you offer for the battery specifically?",The keyterm extracted are Battery coverage options
5,7,That sounds reassuring. And what about roadside assistance? Does that cover EVs?,"The keyterm extracted are Roadside assistance, EVs"
5,9,What would the annual premium be for a comprehensive policy like that?,"The keyterm extracted are Annual premium, Comprehensive policy"
5,11,That's within my budget. Can you send me a detailed quote with all the inclusions?,"The keyterm extracted are Budget, Detailed quote, Inclusions"
6,1,I need insurance for my 2018 Honda CBR250R. What are my options?,"The keyterm extracted are Motor insurance, 2018 Honda CBR250R, options"
6,3,"Well, I'm a student, so budget is definitely a concern. But I also don't want to be completely exposed if something happens.","The keyterm extracted are Budget, Third-party liability"
6,5,"Okay, what's the difference in price between the minimum and a more comprehensive option?","The keyterm extracted are Minimum, Comprehensive, Price"
6,7,"Hmm, $200 is a decent jump. What does the comprehensive policy actually cover on my bike?","The keyterm extracted are Comprehensive policy, Bike coverage"
6,9,"Okay, that does sound better than just liability. Do you offer any discounts for students?","The keyterm extracted are Comprehensive, Discounts, Students"
7,1,I'm looking for insurance for my 2020 Maruti Suzuki Baleno. Can you help me with that?,"The keyterm extracted are Motor insurance, 2020 Maruti Suzuki Baleno"
7,3,Safety for my family is my top priority. I want to make sure everyone is covered in case of an accident.,"The keyterm extracted are Safety, Accident"
7,5,What kind of personal accident cover do you offer for passengers?,"The keyterm extracted are Personal accident cover, passengers"
7,7,"That's good to know. I also worry about the car getting damaged, especially with kids around!","The keyterm extracted are Car damage, Kids around"
7,9,What's the claim process like? I don't want a lot of hassle if I need to make a claim.,The keyterm extracted are Claim process
7,11,"Okay, that's reassuring. How much would a comprehensive policy with personal accident cover cost for my Baleno?","The keyterm extracted are Comprehensive policy, Personal accident cover, Cost, Baleno"
8,1,"Hi, I'm interested in getting insurance for my bike, a 2022 Royal Enfield Interceptor 650.","The keyterm extracted are motor insurance, bike, Royal Enfield Interceptor 650"
8,3,A hassle-free claim process is definitely important. I don't want to spend hours on paperwork if something happens.,The keyterm extracted are Claim process
8,5,"Okay, that sounds promising. What kind of coverage options do you offer?",The keyterm extracted are Coverage options
8,7,What's the approximate cost difference between the two?,The keyterm extracted are Cost difference (between policies)
8,9,That's a fair point. What add-ons would you recommend for the comprehensive policy?,"The keyterm extracted are Comprehensive policy, Add-ons"
8,11,"Okay, roadside assistance sounds useful. How much would that add to the premium?","The keyterm extracted are Roadside assistance, Premiums"
8,13,"Alright, I'm interested. Can you send me a quote with the comprehensive coverage and roadside assistance?","The keyterm extracted are Comprehensive coverage, Roadside assistance"
9,1,"Hi, I'm looking to get insurance for my new bike. It's a 2024 Royal Enfield Himalayan.","The keyterm extracted are motor insurance, bike, Royal Enfield Himalayan"
9,3,"Mostly leisure, weekend rides. I want something reliable, but I'm also on a budget.","The keyterm extracted are Reliable, Budget"
9,5,"Okay, good to know. What kind of coverage options do you have for the Himalayan?",The keyterm extracted are Himalayan coverage options
9,7,What add-ons are worth considering?,The keyterm extracted are Add-ons
9,9,That sounds useful. How much would the comprehensive policy with roadside assistance cost?,"The keyterm extracted are Comprehensive policy, Roadside assistance, Cost"
9,11,"Okay, I'm interested. What's the next step?",The keyterm extracted are None
10,1,"Hi, I'm interested in getting motor insurance for my bike. It's a 2022 Yamaha MT-07.","The keyterm extracted are Motor insurance, bike, Yamaha MT-07"
10,3,That's good to know. What kind of coverage options do you have?,The keyterm extracted are Coverage options
10,5,What's the difference in price between the two?,The keyterm extracted are Premiums
10,7,"Okay, that's a significant jump. What does the comprehensive policy actually cover?","The keyterm extracted are Comprehensive policy, Coverage"
10,9,What about roadside assistance?,The keyterm extracted are Roadside assistance
10,11,"Okay, I think I'd like to go with the comprehensive coverage. Can you give me a quote with roadside assistance?","The keyterm extracted are Comprehensive coverage, Roadside assistance"
10,13,That sounds reasonable. Let's proceed with that.,The keyterm extracted are None
11,1,I'm looking to get insurance for my bike. It's a 2022 Royal Enfield Interceptor 650.,"The keyterm extracted are Motor insurance, bike, Royal Enfield Interceptor 650"
11,3,What makes Bajaj Allianz a good choice?,The keyterm extracted are None (No specific motor insurance-related terms were present in the user input)
11,5,What kind of coverage options are available?,The keyterm extracted are Coverage options
11,7,What does the comprehensive policy cover?,"The keyterm extracted are Comprehensive policy, Coverage"
11,9,That sounds good. What about the claim process?,The keyterm extracted are Claim process
11,11,And what would be the cost of the comprehensive policy?,"The keyterm extracted are Comprehensive policy, Premiums"
